Location Name,Location Thumbnail Url
Cadium Generator Room 3 North,![Cadium Generator Room 3 North](https://static.wikia.nocookie.net/nexomon/images/3/37/Cadium_Generator_Room_3_North.png/revision/latest/smart/width/40/height/30?cb=20240325144810)
Cadium Generator Room 3 Northeast,![Cadium Generator Room 3 Northeast](https://static.wikia.nocookie.net/nexomon/images/c/ce/Cadium_Generator_Room_3_Northeast.png/revision/latest/smart/width/40/height/30?cb=20240325145101)
Cadium Generator Room 4,![Cadium Generator Room 4](https://static.wikia.nocookie.net/nexomon/images/3/37/Cadium_Generator_Room_4.png/revision/latest/smart/width/40/height/30?cb=20240325144630)
Cadium Submarine Dock,![Cadium Submarine Dock](https://static.wikia.nocookie.net/nexomon/images/b/b1/Cadium_Submarine_Dock.png/revision/latest/smart/width/40/height/30?cb=20240325142009)
Caelesa's Doors,![Caelesa's Doors](https://static.wikia.nocookie.net/nexomon/images/c/cb/Caelesa%27s_Doors.png/revision/latest/smart/width/40/height/30?cb=20240327184319)
Caelesa's Location,![Caelesa's Location](https://static.wikia.nocookie.net/nexomon/images/f/f9/Caelesa%27s_Location.png/revision/latest/smart/width/40/height/30?cb=20240327184332)
Cursed Tower - Crossroads,![Cursed Tower - Crossroads](https://static.wikia.nocookie.net/nexomon/images/1/13/Cursed_Tower_-_Crossroads.png/revision/latest/smart/width/40/height/30?cb=20240327010850)
Cursed Tower - Crossroads South,![Cursed Tower - Crossroads South](https://static.wikia.nocookie.net/nexomon/images/d/d4/Cursed_Tower_-_Crossroads_South.png/revision/latest/smart/width/40/height/30?cb=20240327010836)
Cursed Tower - Dead End,![Cursed Tower - Dead End](https://static.wikia.nocookie.net/nexomon/images/5/50/Cursed_Tower_-_Dead_End.png/revision/latest/smart/width/40/height/30?cb=20240327010436)
Cursed Tower - Electric Path,![Cursed Tower - Electric Path](https://static.wikia.nocookie.net/nexomon/images/9/99/Cursed_Tower_-_Electric_Path.png/revision/latest/smart/width/40/height/30?cb=20240327011013)
Cursed Tower - Electric Room,![Cursed Tower - Electric Room](https://static.wikia.nocookie.net/nexomon/images/c/cb/Cursed_Tower_-_Electric_Room.png/revision/latest/smart/width/40/height/30?cb=20240327011047)
Cursed Tower - Entrance,![Cursed Tower - Entrance](https://static.wikia.nocookie.net/nexomon/images/d/df/Cursed_Tower_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240327010749)
Cursed Tower - Fire Path,![Cursed Tower - Fire Path](https://static.wikia.nocookie.net/nexomon/images/a/ad/Cursed_Tower_-_Fire_Path.png/revision/latest/smart/width/40/height/30?cb=20240327010942)
Cursed Tower - Fire Room,![Cursed Tower - Fire Room](https://static.wikia.nocookie.net/nexomon/images/1/1e/Cursed_Tower_-_Fire_Room.png/revision/latest/smart/width/40/height/30?cb=20240327010958)
Cursed Tower - Ice Puzzle 1,![Cursed Tower - Ice Puzzle 1](https://static.wikia.nocookie.net/nexomon/images/1/1d/Cursed_Tower_-_Ice_Puzzle_1.png/revision/latest/smart/width/40/height/30?cb=20240327010321)
Cursed Tower - Ice Puzzle 2,![Cursed Tower - Ice Puzzle 2](https://static.wikia.nocookie.net/nexomon/images/3/32/Cursed_Tower_-_Ice_Puzzle_2.png/revision/latest/smart/width/40/height/30?cb=20240327010342)
Cursed Tower - Ice Puzzle North,![Cursed Tower - Ice Puzzle North](https://static.wikia.nocookie.net/nexomon/images/1/15/Cursed_Tower_-_Ice_Puzzle_North.png/revision/latest/smart/width/40/height/30?cb=20240327010259)
Cursed Tower - Ice Puzzle South,![Cursed Tower - Ice Puzzle South](https://static.wikia.nocookie.net/nexomon/images/4/45/Cursed_Tower_-_Ice_Puzzle_South.png/revision/latest/smart/width/40/height/30?cb=20240327010413)
Cursed Tower - Machine Room,![Cursed Tower - Machine Room](https://static.wikia.nocookie.net/nexomon/images/0/07/Cursed_Tower_-_Machine_Room.png/revision/latest/smart/width/40/height/30?cb=20240327011131)
Cursed Tower - Meeting Spot,![Cursed Tower - Meeting Spot](https://static.wikia.nocookie.net/nexomon/images/1/1e/Cursed_Tower_-_Meeting_Spot.png/revision/latest/smart/width/40/height/30?cb=20240327010821)
Cursed Tower - Multi-Level Room,![Cursed Tower - Multi-Level Room](https://static.wikia.nocookie.net/nexomon/images/c/cb/Cursed_Tower_-_Multi-Level_Room.png/revision/latest/smart/width/40/height/30?cb=20240327010803)
Cursed Tower - Open Room,![Cursed Tower - Open Room](https://static.wikia.nocookie.net/nexomon/images/f/fe/Cursed_Tower_-_Open_Room.png/revision/latest/smart/width/40/height/30?cb=20240327010657)
Cursed Tower - T-Path,![Cursed Tower - T-Path](https://static.wikia.nocookie.net/nexomon/images/3/3e/Cursed_Tower_-_T-Path.png/revision/latest/smart/width/40/height/30?cb=20240327010717)
Cursed Tower - T-Path West,![Cursed Tower - T-Path West](https://static.wikia.nocookie.net/nexomon/images/2/20/Cursed_Tower_-_T-Path_West.png/revision/latest/smart/width/40/height/30?cb=20240327010645)
Cursed Tower - Ventra and Arqua,![Cursed Tower - Ventra and Arqua](https://static.wikia.nocookie.net/nexomon/images/a/a6/Cursed_Tower_-_Ventra_and_Arqua.png/revision/latest/smart/width/40/height/30?cb=20240327010734)
Cursed Tower - Water Path,![Cursed Tower - Water Path](https://static.wikia.nocookie.net/nexomon/images/a/a2/Cursed_Tower_-_Water_Path.png/revision/latest/smart/width/40/height/30?cb=20240327010905)
Cursed Tower - Water Room,![Cursed Tower - Water Room](https://static.wikia.nocookie.net/nexomon/images/3/34/Cursed_Tower_-_Water_Room.png/revision/latest/smart/width/40/height/30?cb=20240327010924)
Cursed Tower - Wind Path,![Cursed Tower - Wind Path](https://static.wikia.nocookie.net/nexomon/images/a/ab/Cursed_Tower_-_Wind_Path.png/revision/latest/smart/width/40/height/30?cb=20240327011105)
Cursed Tower - Wind Room,![Cursed Tower - Wind Room](https://static.wikia.nocookie.net/nexomon/images/d/d6/Cursed_Tower_-_Wind_Room.png/revision/latest/smart/width/40/height/30?cb=20240327011119)
Cursed Tower Outside,![Cursed Tower Outside](https://static.wikia.nocookie.net/nexomon/images/b/b9/Cursed_Tower_Outside.png/revision/latest/smart/width/40/height/30?cb=20240326222546)
Cursed Tower South,![Cursed Tower South](https://static.wikia.nocookie.net/nexomon/images/7/79/Cursed_Tower_South.png/revision/latest/smart/width/40/height/30?cb=20240326222608)
Dark Tunnel,![Dark Tunnel](https://static.wikia.nocookie.net/nexomon/images/a/ae/Dark_Tunnel.png/revision/latest/smart/width/40/height/30?cb=20231124113824)
Dead End Cliff,![Dead End Cliff](https://static.wikia.nocookie.net/nexomon/images/4/4f/Dead_End_Cliff.png/revision/latest/smart/width/40/height/30?cb=20231123112159)
Derek's Greenhouse,![Derek's Greenhouse](https://static.wikia.nocookie.net/nexomon/images/2/29/Derek%27s_Greenhouse.png/revision/latest/smart/width/40/height/30?cb=20240325145328)
Desert Bridge,![Desert Bridge](https://static.wikia.nocookie.net/nexomon/images/2/22/Desert_Bridge.png/revision/latest/smart/width/40/height/30?cb=20240326002911)
Desert Broken Boat,![Desert Broken Boat](https://static.wikia.nocookie.net/nexomon/images/3/3c/Desert_Broken_Boat.png/revision/latest/smart/width/40/height/30?cb=20240325233636)
Desert Cave - Entrance,![Desert Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/3/30/Desert_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326002616)
Desert Outpost,![Desert Outpost](https://static.wikia.nocookie.net/nexomon/images/d/d2/Desert_Outpost.png/revision/latest/smart/width/40/height/30?cb=20240325233719)
Desert Outpost West,![Desert Outpost West](https://static.wikia.nocookie.net/nexomon/images/f/ff/Desert_Outpost_West.png/revision/latest/smart/width/40/height/30?cb=20240325233658)
Desert Outside Cave,![Desert Outside Cave](https://static.wikia.nocookie.net/nexomon/images/1/1f/Desert_Outside_Cave.png/revision/latest/smart/width/40/height/30?cb=20240326002448)
Desert Tyrant Bones,![Desert Tyrant Bones](https://static.wikia.nocookie.net/nexomon/images/7/76/Desert_Tyrant_Bones.png/revision/latest/smart/width/40/height/30?cb=20240518164751)
Desert Tyrant Location,![Desert Tyrant Location](https://static.wikia.nocookie.net/nexomon/images/e/ea/Desert_Tyrant_Location.png/revision/latest/smart/width/40/height/30?cb=20240326003058)
Desert Tyrant Location Camp,![Desert Tyrant Location Camp](https://static.wikia.nocookie.net/nexomon/images/7/70/Desert_Tyrant_Location_Camp.png/revision/latest/smart/width/40/height/30?cb=20240326003203)
Dock to Palmaya,![Dock to Palmaya](https://static.wikia.nocookie.net/nexomon/images/9/92/Dock_to_Palmaya.png/revision/latest/smart/width/40/height/30?cb=20240324153927)
Drake Isles Airship Dock,![Drake Isles Airship Dock](https://static.wikia.nocookie.net/nexomon/images/6/68/Drake_Isles_Airship_Dock.png/revision/latest/smart/width/40/height/30?cb=20240326123711)
Drake Isles Broken Bridge,![Drake Isles Broken Bridge](https://static.wikia.nocookie.net/nexomon/images/5/52/Drake_Isles_Broken_Bridge.png/revision/latest/smart/width/40/height/30?cb=20240326125636)
Drake Isles Broken Bridge North,![Drake Isles Broken Bridge North](https://static.wikia.nocookie.net/nexomon/images/3/3d/Drake_Isles_Broken_Bridge_North.png/revision/latest/smart/width/40/height/30?cb=20240326125426)
Drake Isles Cave - Center,![Drake Isles Cave - Center](https://static.wikia.nocookie.net/nexomon/images/8/8b/Drake_Isles_Cave_-_Center.png/revision/latest/smart/width/40/height/30?cb=20240326134311)
Drake Isles Cave - Drake Masters,![Drake Isles Cave - Drake Masters](https://static.wikia.nocookie.net/nexomon/images/b/b4/Drake_Isles_Cave_-_Drake_Masters.png/revision/latest/smart/width/40/height/30?cb=20240326134431)
Drake Isles Cave - East,![Drake Isles Cave - East](https://static.wikia.nocookie.net/nexomon/images/9/9f/Drake_Isles_Cave_-_East.png/revision/latest/smart/width/40/height/30?cb=20240326134810)
Drake Isles Cave - Entrance,![Drake Isles Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/9/96/Drake_Isles_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326134109)
Drake Isles Cave - North,![Drake Isles Cave - North](https://static.wikia.nocookie.net/nexomon/images/0/0d/Drake_Isles_Cave_-_North.png/revision/latest/smart/width/40/height/30?cb=20240326134616)
Drake Isles Cave Outside,![Drake Isles Cave Outside](https://static.wikia.nocookie.net/nexomon/images/8/80/Drake_Isles_Cave_Outside.png/revision/latest/smart/width/40/height/30?cb=20240326133728)
Drake Isles City Ruins,![Drake Isles City Ruins](https://static.wikia.nocookie.net/nexomon/images/2/2f/Drake_Isles_City_Ruins.png/revision/latest/smart/width/40/height/30?cb=20240326130049)
Drake Isles Dragon Head,![Drake Isles Dragon Head](https://static.wikia.nocookie.net/nexomon/images/a/a7/Drake_Isles_Dragon_Head.png/revision/latest/smart/width/40/height/30?cb=20240326135143)
Drake Isles Dragon Head East,![Drake Isles Dragon Head East](https://static.wikia.nocookie.net/nexomon/images/3/3c/Drake_Isles_Dragon_Head_East.png/revision/latest/smart/width/40/height/30?cb=20240326135503)
Drake Isles Dragon Punch,![Drake Isles Dragon Punch](https://static.wikia.nocookie.net/nexomon/images/c/c9/Drake_Isles_Dragon_Punch.png/revision/latest/smart/width/40/height/30?cb=20240326135300)
Drake Isles Eurus's Napping Spot,![Drake Isles Eurus's Napping Spot](https://static.wikia.nocookie.net/nexomon/images/4/49/Drake_Isles_Eurus%27s_Napping_Spot.png/revision/latest/smart/width/40/height/30?cb=20240601010309)
Drake Isles Festival,![Drake Isles Festival](https://static.wikia.nocookie.net/nexomon/images/b/b9/Drake_Isles_Festival.png/revision/latest/smart/width/40/height/30?cb=20240326130529)
Drake Isles High Spot,![Drake Isles High Spot](https://static.wikia.nocookie.net/nexomon/images/0/0b/Drake_Isles_High_Spot.png/revision/latest/smart/width/40/height/30?cb=20240326130648)
Drake Isles Laboratory - Dragons,![Drake Isles Laboratory - Dragons](https://static.wikia.nocookie.net/nexomon/images/7/7a/Drake_Isles_Laboratory_-_Dragons.png/revision/latest/smart/width/40/height/30?cb=20240326131319)
Drake Isles Laboratory - Entrance,![Drake Isles Laboratory - Entrance](https://static.wikia.nocookie.net/nexomon/images/7/76/Drake_Isles_Laboratory_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326131052)
Drake Isles Laboratory - F0 East,![Drake Isles Laboratory - F0 East](https://static.wikia.nocookie.net/nexomon/images/a/a3/Drake_Isles_Laboratory_-_F0_East.png/revision/latest/smart/width/40/height/30?cb=20240326132716)
Drake Isles Laboratory - F0 West,![Drake Isles Laboratory - F0 West](https://static.wikia.nocookie.net/nexomon/images/f/f1/Drake_Isles_Laboratory_-_F0_West.png/revision/latest/smart/width/40/height/30?cb=20240326131619)
Drake Isles Laboratory - F1 East,![Drake Isles Laboratory - F1 East](https://static.wikia.nocookie.net/nexomon/images/1/1e/Drake_Isles_Laboratory_-_F1_East.png/revision/latest/smart/width/40/height/30?cb=20240326132847)
Drake Isles Laboratory - F1 West,![Drake Isles Laboratory - F1 West](https://static.wikia.nocookie.net/nexomon/images/0/05/Drake_Isles_Laboratory_-_F1_West.png/revision/latest/smart/width/40/height/30?cb=20240326132023)
Drake Isles Laboratory - F2 East,![Drake Isles Laboratory - F2 East](https://static.wikia.nocookie.net/nexomon/images/a/a0/Drake_Isles_Laboratory_-_F2_East.png/revision/latest/smart/width/40/height/30?cb=20240326133017)
Drake Isles Laboratory - F2 West,![Drake Isles Laboratory - F2 West](https://static.wikia.nocookie.net/nexomon/images/4/49/Drake_Isles_Laboratory_-_F2_West.png/revision/latest/smart/width/40/height/30?cb=20240326132246)
Drake Isles Laboratory - F3 East,![Drake Isles Laboratory - F3 East](https://static.wikia.nocookie.net/nexomon/images/8/80/Drake_Isles_Laboratory_-_F3_East.png/revision/latest/smart/width/40/height/30?cb=20240326133129)
Drake Isles Laboratory - Window,![Drake Isles Laboratory - Window](https://static.wikia.nocookie.net/nexomon/images/2/26/Drake_Isles_Laboratory_-_Window.png/revision/latest/smart/width/40/height/30?cb=20240326132512)
Drake Isles Scientist's House,![Drake Isles Scientist's House](https://static.wikia.nocookie.net/nexomon/images/a/ab/Drake_Isles_Scientist%27s_House.png/revision/latest/smart/width/40/height/30?cb=20240326124532)
Drake Isles Scientist's House West,![Drake Isles Scientist's House West](https://static.wikia.nocookie.net/nexomon/images/6/62/Drake_Isles_Scientist%27s_House_West.png/revision/latest/smart/width/40/height/30?cb=20240326124739)
Drake Isles Shamisen Tamer,![Drake Isles Shamisen Tamer](https://static.wikia.nocookie.net/nexomon/images/9/9d/Drake_Isles_Shamisen_Tamer.png/revision/latest/smart/width/40/height/30?cb=20240326124125)
Drake Isles Tower Ruins,![Drake Isles Tower Ruins](https://static.wikia.nocookie.net/nexomon/images/6/61/Drake_Isles_Tower_Ruins.png/revision/latest/smart/width/40/height/30?cb=20240326125159)
Drake Isles Tower Ruins South,![Drake Isles Tower Ruins South](https://static.wikia.nocookie.net/nexomon/images/a/a7/Drake_Isles_Tower_Ruins_South.png/revision/latest/smart/width/40/height/30?cb=20240326124940)
Drake Isles Ventra's Tomb,![Drake Isles Ventra's Tomb](https://static.wikia.nocookie.net/nexomon/images/9/9a/Drake_Isles_Ventra%27s_Tomb.png/revision/latest/smart/width/40/height/30?cb=20240326135640)
Drake Isles Village Center,![Drake Isles Village Center](https://static.wikia.nocookie.net/nexomon/images/e/e6/Drake_Isles_Village_Center.png/revision/latest/smart/width/40/height/30?cb=20240326130329)
Drake Isles Village Southern Entrance,![Drake Isles Village Southern Entrance](https://static.wikia.nocookie.net/nexomon/images/c/c3/Drake_Isles_Village_Southern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326125923)
Eliza's House,![Eliza's House](https://static.wikia.nocookie.net/nexomon/images/1/1c/Eliza%27s_House.png/revision/latest/smart/width/40/height/30?cb=20240324160312)
Endless Maze,![Endless Maze](https://static.wikia.nocookie.net/nexomon/images/4/44/Endless_Maze.png/revision/latest/smart/width/40/height/30?cb=20231124205928)
Fenrir Prison Black Arch,![Fenrir Prison Black Arch](https://static.wikia.nocookie.net/nexomon/images/c/c5/Fenrir_Prison_Black_Arch.png/revision/latest/smart/width/40/height/30?cb=20240920213612)
Fenrir Prison Bridge,![Fenrir Prison Bridge](https://static.wikia.nocookie.net/nexomon/images/3/33/Fenrir_Prison_Bridge.png/revision/latest/smart/width/40/height/30?cb=20240920212701)
Fenrir Prison Camp,![Fenrir Prison Camp](https://static.wikia.nocookie.net/nexomon/images/7/72/Fenrir_Prison_Camp.png/revision/latest/smart/width/40/height/30?cb=20240920212354)
Fenrir Prison Cave Bottom,![Fenrir Prison Cave Bottom](https://static.wikia.nocookie.net/nexomon/images/4/4e/Fenrir_Prison_Cave_Bottom.png/revision/latest/smart/width/40/height/30?cb=20240920213212)
Fenrir Prison Cave East,![Fenrir Prison Cave East](https://static.wikia.nocookie.net/nexomon/images/6/60/Fenrir_Prison_Cave_East.png/revision/latest/smart/width/40/height/30?cb=20240920213314)
Fenrir Prison Cave Top,![Fenrir Prison Cave Top](https://static.wikia.nocookie.net/nexomon/images/b/b2/Fenrir_Prison_Cave_Top.png/revision/latest/smart/width/40/height/30?cb=20240920213107)
Fenrir Prison Cave West,![Fenrir Prison Cave West](https://static.wikia.nocookie.net/nexomon/images/b/b8/Fenrir_Prison_Cave_West.png/revision/latest/smart/width/40/height/30?cb=20240920212949)
Fenrir Prison Curve,![Fenrir Prison Curve](https://static.wikia.nocookie.net/nexomon/images/e/eb/Fenrir_Prison_Curve.png/revision/latest/smart/width/40/height/30?cb=20240920212517)
Fenrir Prison Dead Tree,![Fenrir Prison Dead Tree](https://static.wikia.nocookie.net/nexomon/images/a/a0/Fenrir_Prison_Dead_Tree.png/revision/latest/smart/width/40/height/30?cb=20240920213744)
Fenrir Prison Exit,![Fenrir Prison Exit](https://static.wikia.nocookie.net/nexomon/images/1/1a/Fenrir_Prison_Exit.png/revision/latest/smart/width/40/height/30?cb=20240920214113)
Fenrir Prison House,![Fenrir Prison House](https://static.wikia.nocookie.net/nexomon/images/4/43/Fenrir_Prison_House.png/revision/latest/smart/width/40/height/30?cb=20240920213851)
Fenrir Prison Lake,![Fenrir Prison Lake](https://static.wikia.nocookie.net/nexomon/images/1/14/Fenrir_Prison_Lake.png/revision/latest/smart/width/40/height/30?cb=20240920214001)
Flooded Jungle,![Flooded Jungle](https://static.wikia.nocookie.net/nexomon/images/3/3b/Flooded_Jungle.png/revision/latest/smart/width/40/height/30?cb=20231124103620)
Frozen Barricade,![Frozen Barricade](https://static.wikia.nocookie.net/nexomon/images/7/72/Frozen_Barricade.png/revision/latest/smart/width/40/height/30?cb=20231127231007)
Frozen Bridge,![Frozen Bridge](https://static.wikia.nocookie.net/nexomon/images/b/b3/Frozen_Bridge.png/revision/latest/smart/width/40/height/30?cb=20231127150922)
Frozen Capital Outskirts,![Frozen Capital Outskirts](https://static.wikia.nocookie.net/nexomon/images/7/7b/Frozen_Capital_Outskirts.png/revision/latest/smart/width/40/height/30?cb=20231127152426)
Frozen Cave - Downstairs,![Frozen Cave - Downstairs](https://static.wikia.nocookie.net/nexomon/images/c/c7/Frozen_Cave_-_Downstairs.png/revision/latest/smart/width/40/height/30?cb=20240325191055)
Frozen Cave - East,![Frozen Cave - East](https://static.wikia.nocookie.net/nexomon/images/c/c4/Frozen_Cave_-_East.png/revision/latest/smart/width/40/height/30?cb=20240325190345)
Frozen Cave - Entrance,![Frozen Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/4/4e/Frozen_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240325190149)
Frozen Cave - Ladder,![Frozen Cave - Ladder](https://static.wikia.nocookie.net/nexomon/images/3/39/Frozen_Cave_-_Ladder.png/revision/latest/smart/width/40/height/30?cb=20240325190856)
Frozen Cave - South,![Frozen Cave - South](https://static.wikia.nocookie.net/nexomon/images/f/fa/Frozen_Cave_-_South.png/revision/latest/smart/width/40/height/30?cb=20240325190631)
Frozen Cave - Tyrant Room,![Frozen Cave - Tyrant Room](https://static.wikia.nocookie.net/nexomon/images/1/19/Frozen_Cave_-_Tyrant_Room.png/revision/latest/smart/width/40/height/30?cb=20240325191400)
Frozen City,![Frozen City](https://static.wikia.nocookie.net/nexomon/images/4/41/Frozen_City.png/revision/latest/smart/width/40/height/30?cb=20240601010437)
Frozen City Camp,![Frozen City Camp](https://static.wikia.nocookie.net/nexomon/images/5/56/Frozen_City_Camp.png/revision/latest/smart/width/40/height/30?cb=20240326222654)
Frozen City Eastern Entrance,![Frozen City Eastern Entrance](https://static.wikia.nocookie.net/nexomon/images/8/8a/Frozen_City_Eastern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326222745)
Frozen City Southern Entrance,![Frozen City Southern Entrance](https://static.wikia.nocookie.net/nexomon/images/2/29/Frozen_City_Southern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326223331)
Frozen City Western Entrance,![Frozen City Western Entrance](https://static.wikia.nocookie.net/nexomon/images/2/23/Frozen_City_Western_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326223045)
Frozen Cliffside,![Frozen Cliffside](https://static.wikia.nocookie.net/nexomon/images/2/2e/Frozen_Cliffside.png/revision/latest/smart/width/40/height/30?cb=20231127174344)
Frozen Crystal Quarry,![Frozen Crystal Quarry](https://static.wikia.nocookie.net/nexomon/images/c/c2/Frozen_Crystal_Quarry.png/revision/latest/smart/width/40/height/30?cb=20231127142442)
Frozen Fields,![Frozen Fields](https://static.wikia.nocookie.net/nexomon/images/4/41/Frozen_Fields.png/revision/latest/smart/width/40/height/30?cb=20231127210436)
Frozen Hill,![Frozen Hill](https://static.wikia.nocookie.net/nexomon/images/5/5a/Frozen_Hill.png/revision/latest/smart/width/40/height/30?cb=20231127175900)
Frozen Lake,![Frozen Lake](https://static.wikia.nocookie.net/nexomon/images/d/d9/Frozen_Lake.png/revision/latest/smart/width/40/height/30?cb=20240325185824)
Frozen Peaks,![Frozen Peaks](https://static.wikia.nocookie.net/nexomon/images/9/97/Frozen_Peaks.png/revision/latest/smart/width/40/height/30?cb=20231127194730)
Frozen Route,![Frozen Route](https://static.wikia.nocookie.net/nexomon/images/9/90/Frozen_Route.png/revision/latest/smart/width/40/height/30?cb=20231127221832)
Frozen Small Bridge,![Frozen Small Bridge](https://static.wikia.nocookie.net/nexomon/images/5/5c/Frozen_Small_Bridge.png/revision/latest/smart/width/40/height/30?cb=20231127191538)
Frozen Tundra (Base) Warpstone,![Frozen Tundra (Base) Warpstone](https://static.wikia.nocookie.net/nexomon/images/a/a5/Frozen_Tundra_%28Base%29_Warpstone.png/revision/latest/smart/width/40/height/30?cb=20240326223701)
Frozen Tundra Bridge,![Frozen Tundra Bridge](https://static.wikia.nocookie.net/nexomon/images/8/8a/Frozen_Tundra_Bridge.png/revision/latest/smart/width/40/height/30?cb=20240326223719)
Frozen Tundra Bunker - Atlas Room,![Frozen Tundra Bunker - Atlas Room](https://static.wikia.nocookie.net/nexomon/images/0/03/Frozen_Tundra_Bunker_-_Atlas_Room.png/revision/latest/smart/width/40/height/30?cb=20240326223215)
Frozen Tundra Bunker - Room 1,![Frozen Tundra Bunker - Room 1](https://static.wikia.nocookie.net/nexomon/images/e/eb/Frozen_Tundra_Bunker_-_Room_1.png/revision/latest/smart/width/40/height/30?cb=20240326223122)
Frozen Tundra Bunker - Room 2,![Frozen Tundra Bunker - Room 2](https://static.wikia.nocookie.net/nexomon/images/e/e6/Frozen_Tundra_Bunker_-_Room_2.png/revision/latest/smart/width/40/height/30?cb=20240326223140)
Frozen Tundra Bunker - Room 3,![Frozen Tundra Bunker - Room 3](https://static.wikia.nocookie.net/nexomon/images/3/3e/Frozen_Tundra_Bunker_-_Room_3.png/revision/latest/smart/width/40/height/30?cb=20240326223155)
Frozen Tundra Bunker Outside,![Frozen Tundra Bunker Outside](https://static.wikia.nocookie.net/nexomon/images/3/3d/Frozen_Tundra_Bunker_Outside.png/revision/latest/smart/width/40/height/30?cb=20240326223107)
Frozen Tundra Eastern Cave - Entrance,![Frozen Tundra Eastern Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/a/af/Frozen_Tundra_Eastern_Cave.png/revision/latest/smart/width/40/height/30?cb=20240326222957)
Frozen Tundra Eastern Cave Outside,![Frozen Tundra Eastern Cave Outside](https://static.wikia.nocookie.net/nexomon/images/a/aa/Frozen_Tundra_Eastern_Cave_Outside.png/revision/latest/smart/width/40/height/30?cb=20240326222923)
Frozen Tundra Explosives House,![Frozen Tundra Explosives House](https://static.wikia.nocookie.net/nexomon/images/7/7c/Frozen_Tundra_Explosives_House.png/revision/latest/smart/width/40/height/30?cb=20240326222859)
Frozen Tundra Frozen Ruins,![Frozen Tundra Frozen Ruins](https://static.wikia.nocookie.net/nexomon/images/f/f7/Frozen_Tundra_Frozen_Ruins.png/revision/latest/smart/width/40/height/30?cb=20240326222833)
